"filename", "language", "CSS", "PHP", "JavaScript", "XML", "HTML", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\CLAU\SITE\PHP\redes.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\image\C-BRANCO.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\image\CLAU-BRANCO.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\menu.css", "CSS", 250, 0, 0, 0, 0, 0, 0, 11, 261
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\menu.js", "JavaScript", 0, 0, 27, 0, 0, 0, 3, 5, 35
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\menu.php", "PHP", 0, 422, 0, 0, 0, 0, 7, 54, 483
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\menu_aluno.php", "PHP", 0, 100, 0, 0, 0, 0, 0, 12, 112
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\menu_coordenacao.php", "PHP", 0, 100, 0, 0, 0, 0, 0, 12, 112
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\menu_secretaria.php", "PHP", 0, 64, 0, 0, 0, 0, 0, 8, 72
"c:\xampp\htdocs\CLAU\SITE\PHP\trocar_senha.php", "PHP", 0, 46, 0, 0, 0, 0, 14, 13, 73
"c:\xampp\htdocs\CLAU\SITE\PHP\turma_professor.php", "PHP", 0, 26, 0, 0, 0, 0, 2, 9, 37
"c:\xampp\htdocs\CLAU\SITE\STYLE\alterar.css", "CSS", 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\xampp\htdocs\CLAU\SITE\STYLE\botao.css", "CSS", 107, 0, 0, 0, 0, 0, 0, 5, 112
"c:\xampp\htdocs\CLAU\SITE\STYLE\cadastro.css", "CSS", 213, 0, 0, 0, 0, 0, 0, 32, 245
"c:\xampp\htdocs\CLAU\SITE\STYLE\data.css", "CSS", 5, 0, 0, 0, 0, 0, 1, 0, 6
"c:\xampp\htdocs\CLAU\SITE\STYLE\login.css", "CSS", 151, 0, 0, 0, 0, 0, 18, 24, 193
"c:\xampp\htdocs\CLAU\SITE\STYLE\relatorio.css", "CSS", 181, 0, 0, 0, 0, 0, 0, 27, 208
"c:\xampp\htdocs\CLAU\SITE\STYLE\style1.css", "CSS", 206, 0, 0, 0, 0, 0, 0, 36, 242
"c:\xampp\htdocs\CLAU\SITE\STYLE\style_home.css", "CSS", 152, 0, 0, 0, 0, 0, 17, 24, 193
"c:\xampp\htdocs\CLAU\SITE\conexao.php", "PHP", 0, 10, 0, 0, 0, 0, 2, 3, 15
"c:\xampp\htdocs\CLAU\SITE\consultas.sql", "SQL", 0, 0, 0, 0, 0, 19, 0, 18, 37
"c:\xampp\htdocs\CLAU\SITE\index.html", "HTML", 0, 0, 0, 0, 66, 0, 0, 13, 79
"c:\xampp\htdocs\CLAU\SITE\login.php", "PHP", 0, 58, 0, 0, 0, 0, 8, 9, 75
"Total", "-", 1286, 8989, 143, 140, 66, 278, 504, 1778, 13184
